3307630	med-sal	20	0	120092	52408	13284	S	0,0	0,1	0:00.09	R
3307630	med-sal	20	0	120092	52408	13284	S	0,0	0,1	0:00.09	R
3307630	med-sal	20	0	120092	52408	13284	S	0,0	0,1	0:00.09	R
3307630	med-sal	20	0	120092	52408	13284	S	0,0	0,1	0:00.09	R
3307630	med-sal	20	0	314708	238672	16344	R	26,1	0,4	0:01.40	R
3307630	med-sal	20	0	1947052	486336	22408	R	66,8	0,7	0:04.74	R
3307630	med-sal	20	0	1947052	782016	22408	R	100,0	1,2	0:09.75	R
3307630	med-sal	20	0	1947052	1,0g	22408	R	100,0	1,6	0:14.75	R
3307630	med-sal	20	0	1947052	1,3g	22408	R	100,0	2,1	0:19.76	R
3307630	med-sal	20	0	1947052	1,6g	22408	R	100,2	2,5	0:24.77	R
3307630	med-sal	20	0	2693436	2,2g	22408	R	99,8	3,5	0:29.77	R
3307630	med-sal	20	0	4186556	3,6g	22528	R	100,2	5,8	0:34.78	R
3307630	med-sal	20	0	4186556	3,8g	22764	R	99,6	6,1	0:39.77	R
3307630	med-sal	20	0	3097464	2,9g	22764	S	14,0	4,6	0:40.47	R
3307630	med-sal	20	0	3097464	2,9g	22764	S	0,0	4,6	0:40.47	R
3307630	med-sal	20	0	3097464	2,9g	22764	S	0,0	4,6	0:40.47	R
